id,address,city,state,zip,county,Activities,pet_friendly,camp_type,natural_features,num_enc
905,"9515 West 74th Avenue","Arvada ",CO,80005,Jefferson,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
906,"7952 South Algonquian Way","Aurora ",CO,80016,Arapahoe,Hiking,NO,"Lodging, RVs, Tents",Forest,0
907,"9302 West 58th Avenue","Arvada ",CO,80002,Jefferson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
908,"6817 Brentwood Street","Arvada ",CO,80004,Jefferson,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",56
909,"10367 West 55th Place","Arvada ",CO,80002,Jefferson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",56
910,"8380 West 67th Avenue","Arvada ",CO,80004,Jefferson,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",56
911,"7901 West 52nd Avenue","Arvada ",CO,80002,Jefferson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
912,"8474 Chase Drive","Arvada ",CO,80003,Jefferson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",56
913,"8785 Ellis Court","Arvada ",CO,80005,Jefferson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
914,"6030 Newland Street","Arvada ",CO,80003,Jefferson,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",56
915,"8757 Lamar Circle","Arvada ",CO,80003,Jefferson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",56
916,"5614 Kipling Parkway","Arvada ",CO,80002,Jefferson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",56
917,"5634 Kipling Parkway","Arvada ",CO,80002,Jefferson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
918,"5985 Lamar Street","Arvada ",CO,80003,Jefferson,Hiking,YES,"Lodging, RVs, Tents",Forest,56
919,"6342 Kendall Street","Arvada ",CO,80003,Jefferson,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",56
920,"6424 Simms Street","Arvada ",CO,80004,Jefferson,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",56
921,"6276 Devinney Circle","Arvada ",CO,80004,Jefferson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",56
922,"4537 Tanglewood Trail","Boulder ",CO,80301,Boulder,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",3
923,"11655 West 81st Avenue","Arvada ",CO,80005,Jefferson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
924,"5688 Johnson Court","Arvada ",CO,80002,Jefferson,Hiking,YES,"Lodging, RVs, Tents",Forest,56
925,"12039 West 85th Drive","Arvada ",CO,80005,Jefferson,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
926,"2894 Music Avenue","Grand Junction ",CO,81506,Mesa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",2
927,"17020 West 64th Drive","Arvada ",CO,80007,Jefferson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",56
928,"7717 Everett Street","Arvada ",CO,80005,Jefferson,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",56
929,"12493 West 84th Circle","Arvada ",CO,80005,Jefferson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
930,"6215 Sheridan Boulevard","Arvada ",CO,80003,Jefferson,Hiking,YES,"Lodging, RVs, Tents",Forest,56
931,"11941 West 58th Avenue","Arvada ",CO,80002,Jefferson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
932,"7095 Gladiola Street","Arvada ",CO,80004,Jefferson,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",56
933,"1918 Spruce Street","Boulder ",CO,80302,Boulder,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
934,"6108 Iris Way","Arvada ",CO,80004,Jefferson,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",56
935,"7645 Marshall Street","Arvada ",CO,80003,Jefferson,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",56
936,"6516 Nile Circle","Arvada ",CO,80007,Jefferson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",56
937,"4455 West 61st Place","Arvada ",CO,80003,Jefferson,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",56
938,"6434 Wright Street","Arvada ",CO,80004,Jefferson,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",56
939,"8391 West 52nd Avenue","Arvada ",CO,80002,Jefferson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",56
940,"7300 West 74th Place","Arvada ",CO,80003,Jefferson,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",56
941,"10774 West 54th Lane","Arvada ",CO,80002,Jefferson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
942,"1010 Hillcrest Drive","Fort Collins ",CO,80521,Larimer,Hiking,YES,"Lodging, RVs, Tents",Forest,8
943,"29076 Little Big Horn Drive","Evergreen ",CO,80439,"Clear Creek","Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
944,"5644 Kipling Parkway","Arvada ",CO,80002,Jefferson,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",56
945,"8446 Coors Loop","Arvada ",CO,80005,Jefferson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",56
946,"8772 West 79th Avenue","Arvada ",CO,80005,Jefferson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",56
947,"16772 West 70th Avenue","Arvada ",CO,80007,Jefferson,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",56
948,"8001 West 71st Avenue","Arvada ",CO,80004,Jefferson,Hiking,NO,"Lodging, RVs, Tents",Forest,56
949,"7090 West 64th Avenue","Arvada ",CO,80003,Jefferson,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",56
950,"6140 Fenton Street","Arvada ",CO,80003,Jefferson,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",56
951,"8642 Yule Street","Arvada ",CO,80007,Jefferson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",56
952,"491 Arabian Way","Grand Junction ",CO,81504,Mesa,"Climbing, Hiking",NO,Tents,"Forest, Mountains",2
953,"8532 Ingalls Circle","Arvada ",CO,80003,Jefferson,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",56
954,"6095 Terry Lane","Golden ",CO,80403,Jefferson,Hiking,YES,"Lodging, RVs, Tents",Forest,56
955,"6870 West 52nd Avenue","Arvada ",CO,80002,Jefferson,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
956,"6789 West 70th Avenue","Arvada ",CO,80003,Jefferson,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",56
957,"7915 Depew Street","Arvada ",CO,80003,Jefferson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",56
958,"5743 Teller Street","Arvada ",CO,80002,Jefferson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",56
959,"6990 Pierson Street","Arvada ",CO,80004,Jefferson,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",56
960,"8595 West 81st Drive","Arvada ",CO,80005,Jefferson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",56
961,"6687 Xenon Drive","Arvada ",CO,80004,Jefferson,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",56
962,"6208 Ingalls Street","Arvada ",CO,80003,Jefferson,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",56
963,"7374 West Walden Drive","Littleton ",CO,80128,Jefferson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",56
964,"6740 Van Gordon Street","Arvada ",CO,80004,Jefferson,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",56
965,"16031 West 63rd Lane","Arvada ",CO,80403,Jefferson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",56
966,"115 Maple Street","Manchester ",CT,6040,Capitol,Hiking,NO,"Lodging, RVs, Tents",Forest,0
967,"249 Progress Drive","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
968,"134 Butternut Road","Manchester ",CT,6040,Capitol,"Climbing, Hiking",NO,Tents,"Forest, Mountains",0
969,"616 Bush Hill Road","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
970,"104 Greenwood Drive","Manchester ",CT,6042,Capitol,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
971,"37 Rushforde Drive","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
972,"311 Oak Street","Manchester ",CT,6040,Capitol,Hiking,NO,"Lodging, RVs, Tents",Forest,0
973,"200 Redwood Road","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
974,"75 Wilfred Road","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
975,"199 Spencer Street","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",0
976,"125 Summer Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking",NO,Tents,"Forest, Mountains",0
977,"341 Oakland Street","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
978,"60 Desousa Drive","Manchester ",CT,6040,Capitol,Hiking,NO,"Lodging, RVs, Tents",Forest,0
979,"200 Boulder Road","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
980,"74 Westerly Street","Manchester ",CT,6042,Capitol,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
981,"210 Green Road","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
982,"95 Middle Turnpike West","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
983,"325 Autumn Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
984,"63 Summit Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",0
985,"31 Ashworth Street","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
986,"77 Gerald Drive","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
987,"67 Steeplechase Drive","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
988,"77 Weaver Road","Manchester ",CT,6042,Capitol,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
989,"205 Homestead Street","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
990,"35 Pilgrim Lane","Manchester ",CT,6040,Capitol,Hiking,NO,"Lodging, RVs, Tents",Forest,0
991,"12 Kane Road","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
992,"104 White Street","Manchester ",CT,6042,Capitol,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
993,"173 Spruce Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
994,"829 Main Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
995,"60 Downey Drive","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
996,"179 Blue Ridge Drive","Manchester ",CT,6040,Capitol,Hiking,NO,"Lodging, RVs, Tents",Forest,0
997,"18 Curry Lane","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
998,"68 Princeton Street","Manchester ",CT,6042,Capitol,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
999,"26 Seaman Circle","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1000,"318 Lydall Street","Manchester ",CT,6042,Capitol,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
1001,"34 Holyoke Road","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1002,"13 Riverview Avenue","Groton ",CT,6340,"Southeastern Connecticut",Hiking,NO,"Lodging, RVs, Tents",Forest,0
1003,"350 Lydall Street","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
1004,"162 Wells Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
1005,"208 Timrod Road","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",0
1006,"56 Gardner Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
1007,"180 Center Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1008,"53 Philip Road","Manchester ",CT,6040,Capitol,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",0
1009,"62 High Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1010,"224 Charter Oak Street","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1011,"82 Lookout Mountain Drive","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1012,"69 Washington Street","Manchester ",CT,6042,Capitol,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
1013,"146 Walnut Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1014,"86 Highland Street","Manchester ",CT,6040,Capitol,Hiking,NO,"Lodging, RVs, Tents",Forest,0
1015,"40 Strawberry Lane","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1016,"397 North Main Street","Manchester ",CT,6042,Capitol,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
1017,"28 Garden Drive","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1018,"460 Woodbridge Street","Manchester ",CT,6042,Capitol,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
1019,"52 Park Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1020,"12 Knox Street","Manchester ",CT,6040,Capitol,Hiking,NO,"Lodging, RVs, Tents",Forest,0
1021,"768 North Main Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1022,"165 Saint John Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
1023,"31 Buckland Hills Drive","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1024,"39 Tania Drive","Manchester ",CT,6040,Capitol,"Climbing, Hiking",NO,Tents,"Forest, Mountains",0
1025,"44 Campfield Road","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1026,"25 Edwards Street","Manchester ",CT,6042,Capitol,Hiking,YES,"Lodging, RVs, Tents",Forest,0
1027,"20 Masters Way","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1028,"99 Summer Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
1029,"327 Woodbridge Street","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1030,"12 Winter Street","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1031,"184 Woodland Street","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
1032,"86 Russell Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",0
1033,"195 Kennedy Road","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
1034,"305 Brookside Court","Manchester ",CT,6042,Capitol,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
1035,"52 Linnmore Drive","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",0
1036,"35 Lakewood Circle South","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
1037,"40 Highwood Drive","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1038,"527 Birch Mountain Road","Manchester ",CT,6040,Capitol,Hiking,NO,"Lodging, RVs, Tents",Forest,0
1039,"31 Mitchell Road","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
1040,"61 Plymouth Lane","Manchester ",CT,6040,Capitol,"Climbing, Hiking",NO,Tents,"Forest, Mountains",0
1041,"123 Elizabeth Drive","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1042,"18 Cambridge Street","Manchester ",CT,6042,Capitol,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
1043,"37 Spring Street","Groton ",CT,6340,"Southeastern Connecticut","Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",0
1044,"119 Oakland Street","Manchester ",CT,6042,Capitol,Hiking,YES,"Lodging, RVs, Tents",Forest,0
1045,"80 Homestead Street","Manchester ",CT,6042,Capitol,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
1046,"46 Lilac Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
1047,"425 Middle Turnpike East","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1048,"28 Wilfred Road","Manchester ",CT,6040,Capitol,"Climbing, Hiking",NO,Tents,"Forest, Mountains",0
1049,"310 Timrod Road","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1050,"63 Columbia Drive","Manchester ",CT,6042,Capitol,Hiking,YES,"Lodging, RVs, Tents",Forest,0
1051,"14 Huntington Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1052,"21 Carver Lane","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
1053,"89 High Ledge Circle","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1054,"351 Porter Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
1055,"96 Green Manor Road","Manchester ",CT,6042,Capitol,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
1056,"163 Highwood Drive","Manchester ",CT,6040,Capitol,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",0
1057,"91 Rushforde Drive","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1058,"115 Saint John Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
1059,"566 Middle Turnpike East","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1060,"159 Downey Drive","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1061,"61 Hills Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1062,"68 Bigelow Street","Manchester ",CT,6040,Capitol,Hiking,NO,"Lodging, RVs, Tents",Forest,0
1063,"26 Wetherell Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1064,"40 Oliver Road","Manchester ",CT,6042,Capitol,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
1065,"81 Lyness Street","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",0
1066,"211 Oak Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
1067,"29 Lucian Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1068,"275 Henry Street","Manchester ",CT,6042,Capitol,Hiking,YES,"Lodging, RVs, Tents",Forest,0
1069,"109 High Street","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1070,"207 High Street","Manchester ",CT,6040,Capitol,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1071,"131 Westerly Street","Manchester ",CT,6042,Capitol,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1072,"175 Oak Street","Manchester ",CT,6040,Capitol,"Climbing, Hiking",NO,Tents,"Forest, Mountains",0
1073,"736 Middle Turnpike East","Manchester ",CT,6040,Capitol,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
1074,"56 Channing Drive","Manchester ",CT,6040,Capitol,Hiking,NO,"Lodging, RVs, Tents",Forest,0
1075,"7703 Laird Street","Panama City ",FL,32408,Bay,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",4
1076,"1416 Ridgewood Avenue","Panama City ",FL,32404,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1077,"509 Sea Breeze Drive","Panama City Beach ",FL,32413,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1078,"106 Parker Parkway","Mexico Beach ",FL,32456,Gulf,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
1079,"1701 Foster Avenue","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1080,"1021 North Center Avenue","Panama City ",FL,32401,Bay,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1081,"939 West Beach Drive","Panama City ",FL,32401,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1082,"154 Byrd Drive","Panama City ",FL,32404,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1083,"327 Fairway Boulevard","Panama City Beach ",FL,32407,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1084,"803 Kay Lane","Lynn Haven ",FL,32444,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1085,"1429 Harrison Avenue","Panama City ",FL,32401,Bay,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1086,"23128 Donalda Avenue","Port Charlotte ",FL,33954,Charlotte,Hiking,YES,"Lodging, RVs, Tents",Forest,6
1087,"1213 Michigan Avenue","Lynn Haven ",FL,32444,Bay,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1088,"307 Meadowood Court","Lynn Haven ",FL,32444,Bay,"Climbing, Hiking",NO,"RVs, Tents","Forest, Mountains",4
1089,"9222 Sandra Grace Road","Southport ",FL,32409,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1090,"4712 Cherokee Heights Road","Panama City ",FL,32404,Bay,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1091,"1501 New Hampshire Avenue","Lynn Haven ",FL,32444,Bay,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1092,"467 Biscayne Avenue Northwest","Palm Bay ",FL,32907,Brevard,Hiking,YES,"Lodging, RVs, Tents",Forest,7
1093,"505 Tarpon Street","Panama City Beach ",FL,32413,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1094,"7202 Jump Street","Youngstown ",FL,32466,Bay,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",4
1095,"269 Hugh Thomas Drive","Panama City ",FL,32404,Bay,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",4
1096,"2802 US Highway 98","Mexico Beach ",FL,32456,Gulf,"Climbing, Hiking",NO,Tents,"Forest, Mountains",1
1097,"817 Nevada Drive Northeast","Palm Bay ",FL,32907,Brevard,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",7
1098,"334 North Cove Boulevard","Panama City ",FL,32401,Bay,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1099,"127 Grand Heron Drive","Panama City ",FL,32407,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1100,"3718 Bay Tree Road","Lynn Haven ",FL,32444,Bay,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
