observed,county,state,season,confirmed_sighting
"Early one morning while scouting for mule deer and elk, I had also been hoping to fill my bear tag at the same time, as bear season was open. This area is not well known for black bear activity - but they are present. I was tipped off by a neighboring camper a few nights earlier, of a watering hole in a clearing a few hundred yards from camp and assure I would see plenty of elk and mulies. I was looking forward to snapping some pics with my new camera as well as having a shot at a black bear. I woke up well before the sun, gathered all my camera gear, rifle, pistol, and chair and headed out. Just inside the clearing, there is a grove of trees providing perfect cover for an 80 yd shot at the watering hole. Just beyond the watering hole (approx. 30 yds further) is the other side of the opening where the forest begins, and a massive game trail - like grand central station for the critters. I hunkered down and was immediately attacked by mosquitoes - like flies on sh*t. I couldn't let the constant squeeter slapping blow my cover so I cut two holes in my stocking cap, pulled it over my eyes and zipped my coat up over my neck. This helped, and I did not move a muscle for the next 30 minutes. Facing east, I was staring straight at the game trail entrance as the sun had just started coming up beyond the trees. Then, out of nowhere - just to the left of where I was patiently watching - it moved into view. According to google earth it was 110 yds away and all it did was stand there, full-frontal and facing me. ""I'm looking at bigfoot. I'm looking at bigfoot."" - must have repeated a thousand times in my head. As I mentioned earlier, the sun was just coming up, and it glimmered off its fur perfectly in the dark woods. I could see its full outline from the elbows up, as it was standing behind a fallen tree that was still hanging on to its roots a few feet off the ground. There was enough light that I could barely make out the shadow of its jaw line and chin - well below its shoulder line. And the hair - its hair was beaming with light from behind. I could not tell what color it was for sure, with such a contrast of color between dark woods and brilliant sunlight beaming off it, but I will forever remember the outline of its body and long hair. So many things ran through my head, during the (approx.) 45 second encounter - with a camera on my left, and two firearms on my right - I could not gamble making a move for my camera, and I have NO reason to shoot a squatch. There was no threat, and through all the racing thoughts I came to the conclusion that this may be the last encounter I ever have. I soaked in every second. Though I knew beyond a shadow of a doubt what I was looking at, I waited to see if it was just a reflection of trees and shadows moving with the rising sun - but as soon as this thought had come to mind, the creature moved like a ghost behind a large tree and out of view. I waited a couple hours longer, and two mule deer bucks came running from the north and stopped at the watering hole - between me and the edge of the trees where I had seen the squatch. Still eager to get a photo of the deer, I stood up to get their attention and snapped a few pics of them both looking at me. I got a few nice pictures before they took off towards the area I saw the squatch. Just before before they reached the treeline, they stopped dead in their tracks, sniffed the air, looked at me, stomped their feet, sniffed the air again, and looked back in my direction, before cautiously entering the woods and out of sight. At this time, I grabbed just my pistol and camera and proceeded across the opening to the area of the sighting to gauge the height of the fallen tree from which behind I saw the squatch. I am 5'10"", and when I stood behind the fallen tree, the top of it came to my shoulders. This is the height at which I saw the squatch from its elbows up. With my camera in hand, and my pistol holstered, I did not feel any threat - but I really didn't want to stick around much longer either. I searched briefly for footprints, but there was so much grass, weeds, and pine needles I just assumed it was better to head back to camp and reflect. I am looking forward to another opportunity to observe.",Yakima County,Washington,Summer,yes
"Let me begin by stating that my mother Renae Sampson is a member of the BFRO and has gone on multiple expeditions, is fairly knowledgable about Bigfoot activities and sightings, and has shared her stories with me. I am somewhat of a skeptic, but believe there is always a possibility of discovering new creatures on our planet, but until this past weekend I had never experienced anything first hand. Growing up in central and western Washington, my whole family has always enjoyed the wild outdoor spaces whether camping, day hiking, fishing or just exploring old mountain dirt roads. This past weekend June 7-8, 2014 was no different... We made camp at the upper Bumping Lake campground using 2 small tents and a picnic table tent. The weather was in the upper 70's to low 80's during the day, we had 3 young children ages 4-9, and 4 adults age 37-62. (Whether that's notable or not, I don't know- but I added it in case.) My brother and his family joined us only for the day leaving around 5pm. We rode bikes, played in the water, ate lunch, hiked around the campsite on animal trails, normal camping activity with kids. One notable strange thing happened happened around 6pm... My 4 year old son needed to use the restroom and we decided to walk through the small island of trees at the end of the campsite paved loop. We startled a deer in there and I remember thinking ""that's strange to see a deer in here with so much human activity around the campsites"" I wanted to try and take a pic with my iphone and tried to walk a bit closer. My son stayed right at my heels, also being curious if we could get closer. I don't know why, but I always call wild animals ""baby"" and spoke to this deer: ""it's ok baby, we won't hurt you"" etc. (And I honestly never would, no guns or any type of weapons for my family) So we move forward, the deer slowly walking away a few feet, nibbling some leaves, me moving forward, Deer looking back at me, deer nibbling leaves, the deer never being more than 20' away from us, until we emerge from that small island of trees, cross the paved road into an empty campsite near the restrooms. It was almost as if it wanted me to follow, it kept looking back at me, but never running off. My son looks up and says, ""I don't want to follow that deer anymore, Mama"" and I try to coax him along a bit more. He was adamant and did not want to enter that part of the forest. I follow the deer a bit more trying to get that ""one great nature photo"" and then I lost the deer over a small rise. I even crouched low to see if I could spot moving legs-nothing. What is interesting about this is that my son is very outgoing, adventurous and always wants to lead the way. Was some instinct holding him back? (Whether this is notable or not, I included it anyway) After dinner, my mom, son and I went for a drive up the dirt road (1800) all the way to the end and back. Got back to camp about 9pm, made a fire, sat around and told stories, watched bats flying, watched for shooting stars. The night was calm with not much of a breeze to notice, few clouds in the sky. The moon was in its waxing gibbous phase and visible in the southern sky straight up from our campsite. I put my son to bed in our tent, then stayed up with my mom at the campfire till midnight. I simply couldn't keep my eyes open any longer and quickly fell into a deep sleep. Here's where it gets interesting and something I will never forget... Maybe its the cool night air (approx 54F) or the glass of wine before bed, but I had to wake up and go potty. As I lay trying to convince myself to get out of my warm cozy sleeping bag and don my slippers to outside behind the tent, I hear off in the far distance toward the South part of the lake a ""Clack....clack, clack, clack"" and my brain races to identify the sound. By the time I realize I am hearing rocks clacking together I hear it again, in a definite pattern ""Clack....clack, clack, clack"". Now I am wide awake, on alert and must pee now! I have to say, I did not much want to get out of my tent at this point. Nevertheless, I did, and quickly went potty behind my tent and hopped back into bed. I remember thinking ""what the hell is that?"" I grabbed my headlamp and noted the time on my watch as a few minutes past 2am. I wanted to remember this and tell my mom in the morning. I would say I listened to this clacking occurring repeatedly every couple of minutes for approx. 10 minutes and somehow fell back to sleep. Here's where it gets freaky! I'm fast asleep and become aware that there is the sound of stampeding animals right behind my tent. Still in a haze of sleep, my head on my pillow up against the wall of our tent, I feel what seem to be fingers touch the back of my head in what I can only describe as a ""hard petting"". I feel the end of my tent beyond my feet on the inflated bed my son and I are sleeping on LIFTS UP! And then its placed gently back on the ground, like floating down! I reach out to touch my son and he is facing away from me with his arms and hands under the covers. He had not touched me....what did?! I hear something brush the side of the tent! And then, I hear my mom's voice in a loud shouting whisper: ""Jennifer!!"" I am awake and alert and scared at this point and try to call out to her but my voice won't come out. I am barely able to utter a weak mumble sound.  I hear the clacking rock sound closer now, in the near distance south of our tent in the ""Clack....clack, clack, clack"" pattern, with a responding ""Clack....clack, clack, clack"" from further away maybe south-west, maybe even from the other side of the lake. And then the closer sound again this time, rapidly: ""CLACK, CLACK, CLACK, CLACK, CLACK, CLACK""  I have to tell you I was completely petrified with fear at this point, could not move or speak. Somehow, like a miracle, I fell back to sleep. Again, with that night chilly air I woke with the need to pee. I woke up thinking ""Something weird is going on here"". I could still hear the occasional clacking far off now, in the southern distance. No longer feeling petrified with fear, I don my slippers, quickly potty behind the tent again and dash back to bed. I notice the sky is still dark, full of stars and the moon positioned in the south western part of the sky right above the mountaintops. I did not check the time, but imagine it was around 4-5am. I don't remember sleeping well, filled with fright and thought ""next time we're sleeping in my Explorer"" and then it was 8am. I could hardly wait for my mom to wake so I could tell her what happened. I rose before Mom and my son and walked around our campsite looking for any sign of a visitor. No Bigfoot footprints. My tent was still firmly staked down. Couple of fresh deer tracks on the trail behind our tents. WHAT THE HECK??!! Mom woke up and I recount my story to her of the night's events. She states she was not awake at all during the night, and doesn't remember calling out my name. The funny thing about that is that I've gone by ""Jen"" for 20 years, and only my parents still call me ""Jennifer"". Weird. We pack up camp with the intent of going to the other side of the lake for a hike along the Cougar/Swamp trail for a spell before we headed home. We wanted to get to the Boulder Creek crossing and were curious if my 4 year old son could make it. He did, and we had fun taking pics along the way, had a snack break, met some folks on the trail on the way back, not too hot, not too breezy...all in all a nice day. When we were about 15 minutes away from our cars at the trailhead, we heard a sound. A sound my mom and I have never heard before. We were in a thick wooded portion of the trail: close to the water on one side, and fairly straight up elevation on the other- meaning the hillside rose steeply upwards. I do not think either of us would be able to easily climb up this land covered thickly with Kinnickinick, Bunchberry, ferns, and many many trees growing closely together. This is where the sound came from...directly above us! Hard to describe, but sounded like this: ""HUMPF"" like coming from deep within a large animal, kind of guttural, but not a growl. And it was loud. And close. And no other sounds like the animal moving or walking through this thick vegetation. We all stopped and looked at each other wide-eyed. We looked up into the woods a bit but could not see anything through the thick plant life. I was a bit on edge and thought, ""let's get out of here!"" We continued the hike back to our cars and I remember thinking to myself, ""that was weird"", and what a weird night I had just experienced and why isn't my mom talking about this more?? She's the Bigfoot fanatic in our family! Didn't she think that was strange? Maybe she was meant to forget? Or not notice? I understand Bigfoot may have powers beyond our knowledge or capabilities. You never know... So, that is my story to the best of my recollection.  It scared the hell out of me. I literally felt paralyzed. I am intrigued. I will continue to go camping, and maybe...just maybe have another encounter-if that's how you would classify this story.",Yakima County,Washington,Spring,no
"September 14 My adult son, daughter and her son and I all hiked into Twin Sisters Lakes from the Deep Creek Campground around 1 1/2 to 2 miles. My son and were planning to spend 2 nights and daughter and her son, just for the day. We set up camp, ate lunch and just enjoyed the day at the lake and surrounding area. Many hunters were leaving due to it being the last day of Bow season for Elk so we watched them being packed out by Mules and Horses. Beautiful day in the low 80's I would say. My daughter and her son left around 3:30 so it was just my son and I and the 2 dogs. He fly fished and I just relaxed and read at camp. At dusk we started a fire, ate and had a glass of wine.  I did a couple wood knocks but did not hear a response. Around 9:00 we went to our tents with a dog in each for the night. At 1:30 in the morning the dogs needed out to do their business so we did also then back to bed. My son snores terribly so my sleeping was intermittent. Our tents were between two trees about 8 feet apart and a foot from each other and the trees. I awoke sometime in the night and raised up because I heard the dog moving around. He was staring out the window towards the Lake. He did this several times that night, didn't bark or growl. I heard nothing that night except my son and the dogs snoring. September 15 Awoke early and we decided to take a hike to Blankenship Lakes and Meadow. Spooked a Rough Grouse on the way and met 2 Bow Hunters on the trail. They had no luck but said where they were camped at Blankenship was busy with coyotes during the previous night. When we reached the Lake one of the dogs Maggie would not leave Bob's side so we continued on. Got back to camp around noon. When dusk arrived we made a fire and I decided to do a call, one loud Whoop and immediately across the lake we got a return whoop and Elk on both sides of the lake started bugling back and forth to each other. Also a coyote yip then it was quiet for awhile and then more Elk bugles and a loud knock on the hill behind our tents. By this time my son was wide eyed and couldn't believe what he was hearing. I had told him of all of my expeditions and reports from others so he was a believer but had never experienced it for himself. We decided to go to bed and he immediately went to sleep snoring right away. I on the other hand was awake and listening when I felt something heavy stepping on the side of my tent where my arm was lying , I slowly moved my arm not making a sound because I didn't want whatever it was to know I wasn't sleeping. I felt my head being pushed down also as it went by and a loud swoosh on the tent fly. I was petrified and tried to call out ""Go Away"" but nothing came out. I was mute, but continued to try and say something to wake my son up. He and both dogs were snoring. After it passed my tent I continued to hear soft bipedal footfalls around our camp. I did not sleep all night. Around dawn I heard another wood knock. We got up , packed up and left. Very memorable trip for us, shook me up but I still want to have a sighting and will keep doing this. Note: Actual names edited by the investigator in order to protect the identity and privacy of the witnesses. ST",Yakima County,Washington,Summer,no
"My friend and I rode snowmobiles about 8 miles into a wilderness area. No one had been in the are for at least 2 days because previous tracks were covered by Saturdays storm. We turned off the main road and onto a side road and rode a few hundred feet before we stopped at a bridge crossing a stream. As soon as we took off our helmets we heard a loud howl/moan sound that lasted 8-10 seconds. We looked at each other in shock. Another howl followed about 8 seconds behind it and then we head a loud bang on a tree in the opposite direction. It was like a super loud woodpecker just pecked once. A few seconds after we heard a large tree branch break in the direction of the howl and then heard a third howl. Two more loud wood pecker sounds then followed with about 5 seconds in between. The scream seemed like it was from a mile away, but in the dense trees it was likely much closer. The wood noises and loud break sounded like they were within 50 yards or so. Then it was silent for about 5 minutes and we started to get ready to leave and the howls started again, but seemed like they were twice as far away. After about 6 more howls with 5 seconds or so in between, we decided to leave the area. Neither of us have ever heard anything like it. It seemed like it had an amplifier and we were the only people within about a 8 mile radius. I listened to the ""Ohio howl"" and it was close but longer and more fluctuation in some of the moans.",Yakima County,Washington,Winter,no
Heard at least four howls in the morning between 4-5 am at silver beach camp grounds. The sounds were about a mile away but could here clearly in the morning. Thought was wild life or maybe a person. Then looked up a video on YouTube of people using a parabolic sound dish recording Sasquatch vocalizing sounds when I arrived back home. Was able to recognize the sounds from the video to what I had heard. It was a terrifying sound. The best way to describe it was a howl sound between a man and a ape. This is the link to the video of the sounds I heard:  Hopefully this video helps or explains my experience.,Yakima County,Washington,Summer,no
"I was riding in my mom's van, at 7:13 pm, as she drove past the recently built storage facility on Eagle Road, I looked out the right window and saw a black or brown (it was really dark outside and I could see it clearly so it had to be brown) human-like shape move around the far corner of the facility, and I didn't see it come around the other end. It wasnt a person because of its height. I dont know what I saw, but I'm certain it was not a person or a bear.",Wood County,Wisconsin,Winter,yes
"I live in Biron, Wisconsin.  It was around 6-7 p.m. and my friends and I went out to the forest close to my house and I did a couple ""whoop"" calls. About 10 seconds after I did these calls, we heard a long howl that lasted about 5 seconds in length. We are convinced that this could possibly be a Bigfoot howl. As we were leaving, we heard three ""whoops"" in the same direction as we heard the howl. After we heard that, we all ran back to the house",Wood County,Wisconsin,Winter,no
"I have spent my whole life in the woods in this area. Me and my stepson were ginseng hunting in an area that I had been through multiple times. We decided to try the opposite side of the ridge that we had went to the weekend before and harvested a pretty sizable amount of ginseng. As we drop down from the ridge and began going around the hill we noticed that the area we were in was a little darker, due to excellent shade cover from the large timber in that area. As a result there was a lot of moss, chicken of the woods, and other mushrooms. As we started to go through the swag, off of the small point we were on, we began to hear some unusual sounds. One of the sounds resembled almost like laughter.  What was so strange is that it was low but echoed. You could see really good under the timber. There some small trees, but no thick brush so we kind of ignored it and wrote it off is just an unusual sound of a bird. We heard this sound 5 or 6 times. Just a few seconds after we heard a low growling sound that didn’t resemble any kind of bear or coyote that I hadn’t heard. I yelled “hey bear you get out of here” in an attempt to possibly scare off any kind of predator in the area. I had seen several bears in the area over the years and actually harvested two with my stepson. The next moment a loud sound that almost resembled an ambulance siren or a siren on a vehicle, but with more depth in the tone rang throughout the woods. Then a few seconds of a sound that was a long huff huff huff that was very guttural and grungy came through the woods. We stood silent until he said he wants to leave.  I’m scared as he was. He was only about 13 at the time. I told him to just hold on and I’m sure it was nothing. I had a Glock 21 SF with me which is a 45 caliber handgun and was pretty confident that we could handle anything in the woods. Suddenly, about 60 yards away, the tops of trees started swaying back-and-forth and you could hear the sound of feet moving quickly in the leaves, but it didn’t sound like any bear, deer, or squirrel moving. The steps were heavy, yet so fast paced. There was a grouping of trees, beech, maple, and hickory, between 8 inches to 24 inches in diameter. None of the larger trees were shook. The smaller trees 8 inches in diameter to 16 inches in diameter were swaying back-and-forth violently and the tops were banging against each other. I looked around and observed that there was no wind blowing at this time. The large timber in the area somewhat blocked our view of the creature doing this from where we were standing, but occasionally we would catch a glimpse of what appeared to be a large creature on two legs approximately 6 to 7 feet tall moving from one smaller tree to another before shaking the tree hard enough that it would bang the tops of other trees. This occurred for approximately 3 to 5 minutes. It is notable that the creature always positioned itself to the backside of the tree, keeping the tree between us. It stopped for about 30 seconds. There was no sound in the woods whatsoever. Then we heard quick footsteps going through the leaves. As we moved trying to catch a glimpse of whatever it was, we could see a large creature brownish black on two legs moving quickly, but as it moved between the trees. It was so fast that we could only catch glimpses of the creature. It was putting distance between us. All of a sudden the trees started shaking again. Trees 6 to 8 inches in diameter were being shaken violently. Branches were flailing from the tops as they banged together. Then a tree began to crack and within a few seconds it quickly fell. The tree was probably 20 to 25 feet high, give or take, and 6 to 8 inches in diameter. After this tree had fallen, another tree similar in size, but much taller began to shake violently until it cracked and fell to the ground. 5-6 trees were broken in this manner. Then as quickly as it started, it all stopped. You could hear the sound of something crossing the point in the distance with heavy, quick steps. We decided to go down into the area. Well I did, he was in shock and near tears, but I had the firearm so he went with me. There were all sorts of small trees freshly broken in the area. The larger trees we had seen broken were all broken in the same direction, pointing downhill. As we investigated the area where the creature had been, we heard what sounded like rocks being rolled down the hill. I looked up on the point in front of us and could see large rocks, the size of a basketball, maybe a little larger, being rolled down the point, not toward us but close enough that it would obviously scare us. I looked up toward the ridge of the point. It could see a creature near a large, old squatted. I thought it was a stump at first, but then it quickly moved to the side of the tree, blending in with the shade and remaining hunched or squatted. I stared at what I thought to be creature momentarily. The woods were completely still. I turned to my stepson and told him that we would go exactly the way we came. As I was leaving I remembered I had a pb&j sandwich in my bag. I laid it on a stump as to say I respect this as your home and to say eat this instead of me. I have been back through the area and heard strange sounds, but never had any more incidents. Each time I leave a small gift like a pop tart or candy bar. Close to that area are large stacks of rocks that are uniform and almost rectangular. The stacks are usually level on top and measure 2’ h by 6-7’ l and 4’ w. Several areas have large dug out holes against old logs that appeared to be either wallowed or some kind of bedding area. I do not fear this creature in the least, but respect it immensely. The property is now leased by a hunting club and I am worried that they will disrupt his home as they do not respect Mother Nature, but rather feel above it.",Wyoming County,West Virginia,Fall,no
"My family had moved from the city of Rochester to Wolcott, a small town about 50 miles east of Rochester in July 2003. We were living in an old farmhouse on approx. 77 acres of woods & creeks near Lake Ontario. This incident happened sometime between the 18th-20th of September. My sister's birthday is the 20th and I recall a small group of family and friends were visiting the house for that occasion. My future-stepfather took a small group, including his brother, my four sisters, and a few other friends out for a ""tour"" of the property. I was not present, I had stayed behind at the house. As the group returned to the house, my stepfather lingered behind in an area of the property where a strip of woods runs between two fields. My stepfather was in the field closer to the house, we'll refer to it as field #1. He noticed to his left something in the woods and turned to see a tall, white, hair covered creature standing just off the path in the woods. He ran ahead and told his brother, but did not tell the rest of the group. His brother rushed into the house to get me, telling me that something was in the woods and I should come see. I followed him outside where my stepfather relayed the story to me and the three of us walked back to the area of his sighting. As my stepfather showed me the spot where the creature had been standing, we all noticed that the creature was still present, but had moved further back, to field #2. At this point, the three of us were standing in field 1 and looking through a small strip of trees at the creature in field 2, maybe 200 yards away or so. My observations of the creature are as follows: It was approximately 7' tall, covered in hair, white but with a dark area on the face, think and lanky, with a head that came to a slight conic shape. It was too far to distinctly see its face but there was a definite darker colored area where the face would have been. The creature was clearly observing us, as it paced back and forth, looking around trees, standing up taller, ducking down, etc. to get a better look at us. After approximately 45 seconds, the creature retreated to an area where we couldn't see it clearly. I walked through the trees into field 2 to get a better look at it, but it had disappeared. The area where it had been walking was matted down, but there were no distinct prints. Judging by nearby trees, I estimated its height to be 6.5 - 7 feet.",Wayne County,New York,Fall,yes
"My brother and I were canoeing on Lake George, in N.Y state at about sunset. We headed south for 10 minutes to an area known as Deer Leap. At lake side it is a boulder strewn area with cliffs rising 600 feet above the shoreline. As we were begining to come on to this area we saw something standing on shore. It was brownish in color and standing straight up with it's arms at it's side. It was about the size of a small man and very thin. Its body was facing south, looking down the shorline when it suddenly turned its head directly towards us and looked very intently. We  whispered to each other and watched it while it watched us. We were 2 grown men paddling parallel to the shore and about 200 feet out but we could not summon up the courage to go in closer. This thing had a strange look, almost a crazed grin. Like a giant Lemur.  The sun was set now as we continued to watch it in the shadows of the mountain. As it was standing next to an old, dead pine tree, it turned and climbed, sloth-like up the tree about 20 feet to the first and only large limb and onto the crook of a branch. We paddled back around and as we approached it again cocked its head directly at us, after a minute or so it turned its face downward into its body and became as if it were a part of the tree. Just a lump on the crook of the branch. You would not know it was there unless you saw it move. I have been in this area all my life and have never seen anything like this and have not seen it since. In my searchings I have found reference to a creature found in the woods of New Hampshire. Back in the 30's they called it the ""Wood devil or Stick Men"". The one thing incommon is they are able to blend into trees to avoid being seen.",Warren County,New York,Spring,yes
"It was in the afternoon on a snowy winter day.1985. My friend and I decided to go for a winter drive(which was very common for me when it snows).We ended up at the entrance to ""Ice Cave Mountain"". Of course the attraction was closed. But we wanted to go for a winter walk and thought it would be pretty secenery in the untouched snow covered grounds. We stepped over the gate and began to walk the driveway towards the woods. We were talking with eachother in normal voice tones. The snow was about shin deep so as we walked, we were looking towards the ground to step through the snow as we go. As we approached the woods, we both looked toward the woods to see the snow covered trees and scenery, when all of a sudden, it took us by surprise as much as we took him by surprise. It stopped in its tracks to look at us. It was if it froze in place. (You see, these grounds are not occupied at all during the winter, so it was totally unusual for us to be there)It looked at us as we were frozen in our tracks staring back at it. It was about 150 feet from us. It was very large with brown fur/hair all over it's body. It was absolutely human looking. It was walking upright just like humans walk. When it looked at us, it didn't react in any deffensive way. It just waited a moment or two as if it was waiting to see what we were gonna do. When I was finally able to speek, I asked my friend if she sees what I see. And with that movenment, it seemed to have been frightened by us and started to walk away very fast,but it didn't run. It just had a very long stride. It looked back at us again while it was leaving. Now mind you, we were the only people in the area. But we were curious and stupid.We decided to follow it. But then again we were very scared. We attempted to try and find footprints but were unable to. Maybe because we were too scared to look properly. I know what I saw. I'm a 42 yr old mother of two and am not looking for anything from this.I just want to finally tell what I saw. And I know what I saw.I saw Bigfoot!",Ulster County,New York,Winter,yes
"This   is a somehat long story but i will try to shorten it the best i can without leaving out anything. I also reported this to the Western New York bigfoot association and contacted back and forth with thier director Mike George. He was suppose to come down and meet me so that i could take him out to the location this vocalization occurred , unfortunatley he never made it down. This happened to myself and my long time friend and hunting partner back in winter of 2001. We were out grouse hunting one day in an area know as ""Michigan hill"" , a state owned piece of land 13,000 acres big near Richford , NY . We had hiked a mile and a half or so off the road with no luck finding any birds when we came upon a large thickly wooded gorge with a creek running through the bottom. We decided to head down the very steep hill into the gorge hoping that in the thick pine and old apple trees would be a few grouse. Once reaching the bottom and crossing over the creek we were both stopped dead in our tracks by a sound which made both of our hairs stand on end. A series of  screaming growls which i can only describe as i have before as a 700 pound hyena with a serious bad attitude had stopped twop grown men with guns instantly. i will tell you as i told the WNYBIC , I have been hunting for over twenty some years and have never , and I mean never heard anything such as this in my life.Well anyway , after two or three of these vocalizations ,which were coming from only about 30 yards away or so through the very thick trees , we decided to move a little closer. What happened then was what really put the scare into us , As we split about 10 yards apart and started to move towards the sound it seemed to move around my partner almost as if it were flanking him , when it moved you could here it walking through the snow and breaking branches and smaller tree limbs , it definitley weighed alot more than in my opinion him and i put together. We moved a little more before it vocalized a few more times  and moved to our left evn farhter as if it were trying to get behind us. Needless to say with all this happening and the constant barking of the dogs from the farm up by the road we were actually getting scared and nervous, whatever was in those trees didnt want us there . after about three or four minutes i glanced over at my friend whom at that time was down on one knee with his gun shouldered as if whatever was there was heading for him . He looked at me and i motioned to him that i thought it was time to leave that area and whatever was down there and headback to the road and truck as quickly as possible. We did just that moving very quickly but cautiously, the whole time looking back over our shoulders till we made the truck. We never spoke to much about what happened but never went back to that place. A year or so later i told something of the story to another friend and huning partner of mine , he was playing with me and said ""hey maybe it was bigfoot"" , up until then i never thought about that at all, then one day the same friend played me some supposed recording of bigfoot that he found on the internet and my jaw dropped , a sound i hadent heard since that day a little over a year earlier was playing in front of me , belive me when i tell you the chills were enough to kil ya. I had him record the sounds and i called my hunting partner who was with me that day (he had moved to florida ) , i played the sounds over the phone and he had the same chiiling feeling. It was indeed , 100% positive , the exact same vocalizations we experienced that day hunting. A month or so later i contacted the WNYBIC and he i sent them this story along with the tape explaining that the sounds on the tape are exactly what we heard that day , i wanted to know exactly what they were. They responded with two of their own tapes which contained even more supposed bigfoot vocalizations. i could not believe i was hearing the identical sounds we heard that day , then They even top it by telling me that there have been several other sightings and vocalizations from that area and that they would like to come down and check it out for themselves , that was the last contact i had with them , a letter along with the tapes from 2/4/02. I just wanted to share our story as i have never in all my years been a believer in a creature like this but will tell you my mind has remained totally open since then. I am not exactly sure what we heard or what was there , but i will guarantee that it was there.",Tioga County,New York,Winter,no
"In the fall of 2000 my wife saw a large blk figure walking across a field and into the woods approx 300 yards from our home.My children stated that they saw something big and hairy behind our house approximately 3-5 days later. We never told them about moms sighting. also we had recently purchased the property and the home had been vacant for some time (curiousity ?) in the fall and winter of 2008 I heard some rather strange sounds when i was in the woods across from my home this happened when I was walking,hunting and cutting firewood. The first incident was when I was walking in the woods looking for deer sign for the upcoming hunting season.What i heard was something striking a tree with a piece of wood very loudly and repeatedly 5-6 times. I tried to duplicate the noise in an attempt to communicate but to no avail.Prior to the banging I would swear that i was being watched.I also found a strange footprint at the base of a cluster of cedar trees, the print was 8-10 inches long but it was muddy and the print was not clear but looked as something slipped in the mud the print was human like but not human.the cedar tree was stripped of bark for some reason.The next incident was while hunting I heard 2 somethings that were very heavy walking on the ice and breaking through I thought that they were very large deer and that i would see them as they were coming towards me but they suddenly veered away and were never seen. The reason i know that they were heavy is that i weigh 270 pds and I was walking in the same area and i did not break through.I have heard long screams at night coming from the same area and the latest incident I was cutting firewood and when i shut the saw off i heard a large amount of vocalization coming from approx 1/4 mile away. These noises could only be described as monkeys yelling at each other,and the reason I say that is ,while on vacation in TN I went to a outside zoo near Nashville and there were white faced monkeys there and the vocalizations that they made were very similar.I downloaded a file from the Sierra sounds and played this for my wife, she said those are birds i hear them all the time outside. I proceeded to tell her that the noises were of a sasquatch not birds and i showed her the web site that i copied it from.I recall as a child seeing what i remember as a hairy man near a creek when my brothers and i were playing there, and we always felt that we were being watched when we were there.this creek was on my family's property back in the woods not far from the swamp. The incidents above took place in the woods between a swamp and the lake.",St. Lawrence County,New York,Fall,no
"Driving westbound my brother and I were doing approximately 60 miles per hour on Rte. 224.  Three fire trucks from the Odessa-Montour fire dept. were coming in the opposite direction with lights and sirens on as they were responding to a call. Suddenly, this creature darted across the road from our left to right.  It was illuminated by fire trucks and our headlights.  I yelled to my brother, ""Don't hit that ki-d"". That was when we realized that it was not a human or animal.  We thought the lead fire truck was going to hit it.  We believe it was spooked by the lights and sirens and  panicked.  It ran extremely fast on two legs leaning slightly forward with what we estimated today to be a stride of five to six feet as the road was approximately 30 feet wide. It was completely blackened from head to toe and approximately six to seven feet tall.  It swung it's arms in an ape-like fashion at its sides as if to gain momentum.  Unlike the way a human pumps their arms and fists for speed when running.  That's how we knew it wasn't a person. The creature did not look in either direction as it darted across the road.  It acted like a scared animal.  We returned to the site this morning and did not find any tracks, etc.  Ground was completely hard and dry at the time.  No alcohol involved.",Schuyler County,New York,Fall,yes
"My incident was no visual in the sense of seeing bigfoot itself.  another family member of mine has seen him before.  So it has been common in the area.  My incident however was simply footprints in the snow.  I saw the footprints in the snow in the morning.  We had snow the night before.  The footprints started around a tree in front of our house.  I followed them and they led around the back of our house to another tree.  The footprints then circled around the area in front of the tree about 4 full circles and then stopped.  There were no footsteps leading from the circle to anywhere else, as well as no footsteps back to the front of the house.  I put a garbage can lid over one of the prints to preserve it until I could take a picture of it.  Unfortunately I never had a chance.",Rockland County,New York,Winter,no
